chain_id,i,x,y,z,qw,qx,qy,qz
0eca4aa82b,0,0,0,0,1,0,0,0
0eca4aa82b,1,-515.3876816413863,-508.71447187958114,464.2767437147658,0.9999560521801762,0.0027236271451681004,-0.007447070873081772,-0.005001669603455506
0eca4aa82b,2,-1034.9580080120097,-1024.6620520172519,916.9920066752406,0.9998276184249774,0.005495316895736381,-0.014787978069513336,-0.009790333572920796
0eca4aa82b,3,-1557.927773678922,-1548.020012980666,1354.9745716107464,0.9996063022750191,0.008180243623116007,-0.022303929287086882,-0.014928456205728038
0eca4aa82b,4,-2083.9562476102938,-2079.0097756875884,1777.0090150062292,0.9992798279848387,0.010854197488605081,-0.030012729494533687,-0.02052432332033616
0eca4aa82b,5,-2615.3229685413216,-2616.505132088197,2194.5834446329045,0.9989224635601307,0.01377028642892695,-0.036934715528375246,-0.02449730179964223
0eca4aa82b,6,-3148.0156709351904,-3160.9095206746597,2593.4841401629483,0.998437135045082,0.01645129435638602,-0.04444298327541204,-0.02962201064326773
0eca4aa82b,7,-3683.7712546628236,-3712.172449363056,2979.393068693898,0.9978681132104867,0.01916259942602612,-0.05188912835557694,-0.03463440167636112
0eca4aa82b,8,-4222.571298396642,-4270.062834456621,3353.764606329172,0.997233021663929,0.021958972442433503,-0.059153086026829095,-0.039306697213132014
0eca4aa82b,9,-4763.132867119276,-4834.493919410931,3712.8006743579513,0.9964886799444067,0.02465484205904696,-0.06660640760615698,-0.04434000418922058
0eca4aa82b,10,-5305.607954789761,-5405.447743461322,4056.7360420682917,0.995638870616862,0.027281043575180228,-0.07416879031871335,-0.04957796406557435
0eca4aa82b,11,-5849.451054678602,-5982.825961374204,4382.938287628696,0.994648392395613,0.029605315028397448,-0.0820526090284943,-0.05536668834695838
0eca4aa82b,12,-6396.551239787839,-6566.5970498306015,4698.279545198897,0.9936284141331898,0.032290880566511776,-0.08949587667342354,-0.060418223392094995
0eca4aa82b,13,-6944.934193175599,-7156.450524064689,4998.830601440935,0.9925086324302175,0.034938399056603134,-0.09698935110853861,-0.06556667289412807
0eca4aa82b,14,-7494.879730778789,-7752.325409914799,5286.100488237735,0.9913209916458386,0.03764597035175819,-0.10436614582400773,-0.07052077739523205
0eca4aa82b,15,-8050.491332699822,-8354.690399291023,5574.141388815735,0.9903598449690095,0.04075173022021467,-0.11041592238873067,-0.07304107091263301
0eca4aa82b,16,-8599.79836616092,-8960.572015643069,5832.420460330257,0.9889145628526074,0.04303540945021119,-0.11827933275358198,-0.0787777910001069
0eca4aa82b,17,-9150.154819089523,-9572.002824543455,6074.905448469487,0.9873683647630012,0.045314697036692636,-0.12613067304238917,-0.08450647203370872
0eca4aa82b,18,-9701.285159889912,-10188.801739705994,6301.518057406363,0.9857214084853932,0.04758936038471739,-0.13396914204777197,-0.09022652941751538
0eca4aa82b,19,-10252.91354108203,-10810.785483699316,6512.18647007668,0.9839738620870793,0.049859167371234504,-0.1417939398758287,-0.09593737943562332
0eca4aa82b,20,-10805.45854653381,-11438.256197878653,6709.372548033015,0.9821900768625755,0.05241615747563841,-0.14934085209960768,-0.10125467516287959
0eca4aa82b,21,-11358.53620549448,-12070.889882350979,6893.638271334714,0.9803889604574263,0.05510145421220779,-0.15662424016190596,-0.10616102557253579
0eca4aa82b,22,-11909.05660234454,-12707.508005776623,7058.512424565823,0.9783519823250681,0.05735110395119197,-0.16441192832695742,-0.11183455360487048
0eca4aa82b,23,-12460.53166927704,-13349.49380654192,7211.239749742867,0.9763398135142837,0.05996281718416566,-0.17177513371073955,-0.11686886899807786
0eca4aa82b,24,-13009.182620281154,-13994.94922263235,7345.061529089284,0.9741093841333659,0.062198250780296255,-0.1795331245538895,-0.12251588685188508
0eca4aa82b,25,-13558.556208455599,-14645.466122359005,7467.216989562527,0.9719450987139118,0.0648577975221203,-0.18676356699898167,-0.12741884173230036
0eca4aa82b,26,-14105.444185020511,-15299.816251585522,7573.181435209986,0.969633456984313,0.06744431124399643,-0.19413529073417796,-0.13256588124034616
0eca4aa82b,27,-14652.29651182656,-15959.141790096051,7668.224420290206,0.9674146827375338,0.0702694275788878,-0.2010261319327664,-0.13696544619619339
0eca4aa82b,28,-15193.344191238019,-16620.450250345304,7742.233594261088,0.9648120078017899,0.07247018932529077,-0.20872482390354666,-0.14254756801527346
0eca4aa82b,29,-15732.274629207523,-17285.100227886658,7799.967632833648,0.9621108764913662,0.07466355569098161,-0.21640221608814988,-0.14811514325258143
0eca4aa82b,30,-16270.538646228764,-17954.005163144608,7845.075640473,0.9594773372746999,0.07724451411405336,-0.2236131369104726,-0.1530806627128123
0eca4aa82b,31,-16805.003322486464,-18625.937625686922,7874.154000373939,0.9566931373308095,0.079896838054536,-0.23088035421539238,-0.15826875336084215
0eca4aa82b,32,-17337.547386081154,-19301.824628598242,7890.3530026474,0.9539578713416087,0.08257277183071547,-0.23788415788438427,-0.16296393614912746
0eca4aa82b,33,-17865.65278884281,-19980.190274896973,7890.610603101915,0.9510593365698731,0.08512298079570559,-0.2450474565331257,-0.16790461729914619
0eca4aa82b,34,-18390.68983095456,-20661.74782688095,7877.11090040747,0.9481417564924651,0.08776260116196653,-0.2520434888472447,-0.17262391248716819
0eca4aa82b,35,-18911.229864865785,-21345.671208433017,7848.373904936661,0.9450978308058249,0.09033328768733614,-0.2591103174852807,-0.17745937764569814
0eca4aa82b,36,-19426.952132607697,-22031.63645132931,7803.954082183335,0.9419120001978218,0.09280845261994987,-0.26627547256239625,-0.18244382071558837
0eca4aa82b,37,-19938.8586147188,-22720.198949256883,7745.4693503913,0.9387011404648496,0.09536573915481189,-0.27328872176934654,-0.18724000437706587
0eca4aa82b,38,-20443.820007079168,-23409.155375706687,7668.710875259009,0.9351763948348919,0.0974699493212181,-0.2807847686225079,-0.19262562973949898
0eca4aa82b,39,-20944.163081047907,-24099.511568541573,7575.953319385199,0.9315562170619082,0.09956421295112519,-0.288252162173098,-0.19799159819362122
0eca4aa82b,40,-21439.629978308218,-24791.057914897363,7467.256339726997,0.927840976574944,0.10164831633077027,-0.2956901403944305,-0.20333736215731674
0eca4aa82b,41,-21929.964830893503,-25483.584316114895,7342.686099370548,0.9240310525039303,0.10372204678321578,-0.30309794426157133,-0.20866237611028157
0eca4aa82b,42,-22414.913865627113,-26176.88027349777,7202.315240524624,0.920126833640993,0.10578519269005235,-0.3104748178287951,-0.21396609664969257
0eca4aa82b,43,-22896.60132479833,-26872.61202525247,7049.585374796454,0.9164011531071063,0.10831003602327874,-0.31727140129034825,-0.21867034687826525
0eca4aa82b,44,-23372.193028968293,-27569.473237874212,6882.709049202946,0.9125883757646406,0.11081525261621675,-0.32406489465565025,-0.22334811451785655
0eca4aa82b,45,-23838.891874644814,-28265.010998803045,6698.4314341979125,0.9084166485115628,0.11284376663014896,-0.33135711369865156,-0.2285780834661089
0eca4aa82b,46,-24301.783680950062,-28962.665073565197,6501.890206271155,0.9044343844430867,0.11532762277698749,-0.33808987386464284,-0.23322354266208595
0eca4aa82b,47,-24760.183921123684,-29662.61610741279,6294.073854715202,0.9006290785484831,0.11808235297341174,-0.3443841973318405,-0.2373253998569834
0eca4aa82b,48,-25207.535723355966,-30359.983826851647,6069.082385281167,0.8963036023123038,0.12030002738725945,-0.3513746806228115,-0.24228823683751033
0eca4aa82b,49,-25649.312314012463,-31058.385977806276,5831.25050177025,0.892072815032716,0.12274307023524961,-0.3580309694546158,-0.2468887528831931
0eca4aa82b,50,-26083.671404055814,-31756.683556327233,5579.769410544487,0.8877652959042861,0.1251758461214923,-0.3646517597738687,-0.25146149015219943
0eca4aa82b,51,-26510.083488209377,-32454.414746469316,5314.421943510497,0.8833427567402498,0.12755635588333455,-0.37129516434016535,-0.25607586986264325
0eca4aa82b,52,-26928.29233500232,-33151.27070034455,5035.123313242679,0.8787967835900303,0.1298736687389146,-0.377971748692162,-0.2607420190738374
0eca4aa82b,53,-27341.090564903065,-33849.61750308731,4744.7096078154855,0.8744765291440117,0.13252183127760966,-0.3841586700542739,-0.26486011484027316
0eca4aa82b,54,-27743.487981703925,-34545.65469589447,4440.033320299564,0.869831001711839,0.13488076253290399,-0.3906848501191706,-0.26938180385260335
0eca4aa82b,55,-28137.02612880748,-35240.22546688865,4121.809625399301,0.8650536498540591,0.13716381935331773,-0.39725546901142855,-0.27396416166187026
0eca4aa82b,56,-28522.589016537033,-35934.01497884293,3790.929644588813,0.8602728101523149,0.1395244750382543,-0.4036770867893551,-0.27840334512932513
0eca4aa82b,57,-28899.395939643102,-36626.47012155536,3447.316129727008,0.8554207422340518,0.14187725441593446,-0.410055428002655,-0.28280867101399065
0eca4aa82b,58,-29264.481388023472,-37314.726199208555,3088.7704342013913,0.8501522343361856,0.14373320880006657,-0.41693314872133297,-0.28766072488009686
0eca4aa82b,59,-29623.18965761136,-38002.990360476404,2718.6548268422803,0.8451300313309854,0.14604711495423095,-0.42324751107854663,-0.292039406111314
0eca4aa82b,60,-29969.880454520047,-38686.71188928242,2334.117193818399,0.8396941208871888,0.1478738652844902,-0.4300459156336035,-0.2968292670209113
0eca4aa82b,61,-30309.844130125755,-39370.15239833281,1938.2200292156394,0.8345160155039306,0.15016081650748203,-0.43627931766243855,-0.30115628174296305
0eca4aa82b,62,-30638.91983571509,-40050.12974115556,1529.4847631876273,0.8291082785424713,0.15226670730442318,-0.4426810618239261,-0.30565959792136443
0eca4aa82b,63,-30959.19045873134,-40728.377492619875,1109.1591675232212,0.8237663170056249,0.15451380168782214,-0.44884942005670136,-0.3099495735917825
0eca4aa82b,64,-31269.685888590506,-41404.214715925154,677.3195232467169,0.8183862753580947,0.15678276732156632,-0.45493165442170397,-0.31416597203011615
0eca4aa82b,65,-31567.085211620237,-42074.29387393741,232.2505471489676,0.8125469477315395,0.1585341720830319,-0.46152790298955104,-0.31878890943094984
0eca4aa82b,66,-31857.435909462525,-42743.82770304529,-223.30839324009412,0.8070623535308092,0.1608189683831374,-0.4674660169762783,-0.3228980332764952
0eca4aa82b,67,-32135.987007315278,-43408.998618565616,-690.4862740682838,0.801326236280317,0.16291632430010264,-0.47358284554834174,-0.3271908047725381
0eca4aa82b,68,-32407.430841248155,-44074.252419094424,-1167.0033617883428,0.7960136650110566,0.16546507861018878,-0.47906456253909446,-0.3308786753410007
0eca4aa82b,69,-32664.664506301488,-44733.14972380503,-1654.8827883456797,0.7901487371511133,0.16752603854901804,-0.48509318514892563,-0.3350889453692021
0eca4aa82b,70,-32911.876964345116,-45389.15027054532,-2153.109145732433,0.7843399919327874,0.16971177665988763,-0.4909159851968363,-0.3391315163709191
0eca4aa82b,71,-33145.06962734454,-46038.188541328964,-2662.9221838229005,0.7780418909588926,0.17136753955048575,-0.4972583998983267,-0.3435375758662789
0eca4aa82b,72,-33369.65733734522,-46685.10080905978,-3182.7751061579993,0.7720374302055468,0.17347131543817484,-0.5030476701956642,-0.34757581991916414
0eca4aa82b,73,-33582.7212069704,-47327.60065339584,-3712.629343731671,0.7659387612949606,0.17553499631207328,-0.508820320790708,-0.35160654169981376
0eca4aa82b,74,-33784.664665981516,-47966.05597301494,-4252.12735571162,0.7598257380827965,0.1776351471210113,-0.5144836424748356,-0.35555194259075
0eca4aa82b,75,-33985.7594092075,-48611.639428670635,-4797.663219290749,0.7552414625573474,0.18081726545142143,-0.518571355046101,-0.35776975762990326
0eca4aa82b,76,-34165.00209047013,-49243.584334022555,-5352.216004161933,0.7489070222603726,0.18278293934178128,-0.5243110832527309,-0.3616995397744215
0eca4aa82b,77,-34330.250504943615,-49867.87101895671,-5916.572208481104,0.7421843222599696,0.18433602100455276,-0.5303954063945778,-0.3658734426372724
0eca4aa82b,78,-34486.685188112286,-50489.7942670924,-6489.882233949057,0.7358673832773499,0.186418666869903,-0.5358274551753673,-0.36964335940374177
0eca4aa82b,79,-34630.361316940136,-51105.86313567904,-7071.8211928231085,0.7293615676515756,0.18836994327173412,-0.5413475085423598,-0.3734853987770063
0eca4aa82b,80,-34759.591394895586,-51713.86610462394,-7662.727958338175,0.7224233098569572,0.18986935088734722,-0.547281607554055,-0.37754076998648217
0eca4aa82b,81,-34879.6927667834,-52319.1296896393,-8262.09323274478,0.7159157783821312,0.19190525779886933,-0.5525546622426891,-0.3812090181600174
